id,code,name,state_id/id,l10n_cl_sii_regional_office,country_id/id
city_cl_13101,CL13101,Santiago,state_cl_131,ur_SaC,base.cl
city_cl_05606,CL05606,Santo Domingo,state_cl_056,ur_SaA,base.cl
city_cl_06117,CL06117,San Vicente,state_cl_061,ur_SaV,base.cl
city_cl_02103,CL02103,Sierra Gorda,state_cl_021,ur_Ant,base.cl
city_cl_13601,CL13601,Talagante,state_cl_136,ur_SaP,base.cl
city_cl_07101,CL07101,Talca,state_cl_071,ur_Tac,base.cl
city_cl_08110,CL08110,Talcahuano,state_cl_081,ur_Tah,base.cl
city_cl_02104,CL02104,Taltal,state_cl_021,ur_TaT,base.cl
city_cl_09101,CL09101,Temuco,state_cl_091,ur_Tem,base.cl
city_cl_07308,CL07308,Teno,state_cl_073,ur_Cur,base.cl
city_cl_09117,CL09117,Teodoro Schmidt,state_cl_091,ur_Tem,base.cl
city_cl_03103,CL03103,Tierra Amarilla,state_cl_031,ur_Coo,base.cl
city_cl_13303,CL13303,Til til,state_cl_133,ur_SaN,base.cl
city_cl_12303,CL12303,Timaukel,state_cl_123,ur_Por,base.cl
city_cl_08207,CL08207,Tirua,state_cl_082,ur_Leb,base.cl
city_cl_02301,CL02301,Tocopilla,state_cl_023,ur_Toc,base.cl
city_cl_09118,CL09118,Toltén,state_cl_091,ur_Tem,base.cl
city_cl_08111,CL08111,Tomé,state_cl_081,ur_Cop,base.cl
city_cl_12402,CL12402,Torres del Paine,state_cl_124,ur_PuN,base.cl
city_cl_11303,CL11303,Tortel,state_cl_113,ur_Coc,base.cl
city_cl_09210,CL09210,Traiguén,state_cl_092,ur_Vic,base.cl
city_cl_08420,CL08420,Trehuaco,base.state_cl_16,ur_Chi,base.cl
city_cl_08312,CL08312,Tucapel,state_cl_083,ur_Log,base.cl
city_cl_14101,CL14101,Valdivia,state_cl_141,ur_Vld,base.cl
city_cl_03301,CL03301,Vallenar,state_cl_033,ur_Val,base.cl
city_cl_05101,CL05101,Valparaíso,state_cl_051,ur_Vlp,base.cl
city_cl_07309,CL07309,Vichuquén,state_cl_073,ur_Cur,base.cl
city_cl_09211,CL09211,Victoria,state_cl_092,ur_Vic,base.cl
city_cl_04106,CL04106,Vicuña,state_cl_041,ur_LaS,base.cl
city_cl_09119,CL09119,Vilcún,state_cl_091,ur_Tem,base.cl
city_cl_07407,CL07407,Villa Alegre,state_cl_074,ur_Lin,base.cl
city_cl_05108,CL05108,Villa Alemana,state_cl_051,ur_ViA,base.cl
city_cl_09120,CL09120,Villarrica,state_cl_091,ur_ViR,base.cl
city_cl_05109,CL05109,Viña del Mar,state_cl_051,ur_Vlp,base.cl
city_cl_13132,CL13132,Vitacura,state_cl_131,ur_SaO,base.cl
city_cl_07408,CL07408,Yerbas Buenas,state_cl_074,ur_Lin,base.cl
city_cl_08313,CL08313,Yumbel,state_cl_083,ur_Log,base.cl
city_cl_08421,CL08421,Yungay,base.state_cl_16,ur_Chi,base.cl
city_cl_05405,CL05405,Zapallar,state_cl_054,ur_LaL,base.cl
